PreyCategory,StartFlashLog,StartDOPLog,EndFlashLog,EndDOPLog
Acanthocyclops spp,1,1,,
Acanthomysis aspera,1,1,,
Acanthomysis hwanhaiensis,1,1,,
Acanthomysis macropsis,1,1,,
Acartia copepodid,1,1,,
Acartia spp,1,1,,
Acartiella copepodid,1,1,,
Acartiella sinensis,1,1,,
Annelid worms,1,1,,
Asplanchna,1,1,,
Barnacle nauplii,1,1,,
Bosmina spp,1,1,,
Calanoid copepodid,1,1,,
Calanus pacificus,2476,1,,
Calanus pacificus copepodid,2476,1,,
Ceriodaphnia spp,1,1,,
Chironomid larvae,1,1,,
Clams,1,1,,
Copepod nauplii,1,1,,
Corophium type,1,1,,
Corophium type,1,1,,
Crab zoea,1,1,,
Crangon spp,1,1,,
Cumaceans,1,1,2476,356
Cyclopoid copepodid,1,1,,
Daphnia spp,1,1,,
Debris (sand/silt/mud),1,1,,
Deltamysis homquistae,1,1,,
Diacyclops spp,2476,1,,
Diaphanosoma spp,1,1,,
Diaptomus copepodid,1,1,,
Diaptomus spp,1,1,,
Epilabidocera copepodid,1,1,,
Epilabidocera spp,1,1,,
Eucyclops spp,2476,1,,
Eurytemora copepodid,1,1,,
Eurytemora nauplii,1,1,,
Eurytemora spp,1,1,,
Exopalaemon modestus,1332,1,,
Fish eggs,1,1,,
Gammarus type,1,1,,
Gammarus type,1,1,,
Harpacticoids,1,1,,
Hyperacanthomysis longirostris,1,1,,
Isopods,1,1,,
Keratella,1,1,,
Limnoithona copepodid,1,1,,
Limnoithona spp,1,1,,
Longfin Smelt,1,1,,
Neomysis kadiakensis,1,1,,
Neomysis mercedis,1,1,,
Nippoleucon hinumensis,2476,97,,
Oithona copepodid,1,1,,
Oithona davisae,1,1,,
Oithona similis,1,1,,
Oithona spp,1,1,,
Osphranticum,1,1,,
Ostracods,1,1,,
Other calanoid,1,1,,
Other cladocera,1,1,,
Other cumacean,2476,356,,
Other cyclopoid,1,1,,
Other insect larvae,1,1,,
Other malacostraca,1,1,,
Other rotifer,1,1,,
Other zooplankton,1,1,,
Pacific Herring,1,1,,
Palaemon,1,1,,
Polyarthra,1,1,,
Prickly Sculpin,1,1,,
Pseudodiaptomus copepodid,1,1,,
Pseudodiaptomus euryhalinus,1,1,,
Pseudodiaptomus forbesi,1,1,,
Pseudodiaptomus marinus,1,1,,
Pseudodiaptomus nauplii,1,1,,
Pseudodiaptomus spp,1,1,,
Sinocalanus copepodid,1,1,,
Sinocalanus nauplii,1,1,,
Sinocalanus spp,1,1,,
Stomach/Gut Tissue,1,1,,
Striped Bass,1,1,,
Synchaeta,1,1,,
Synchaeta bicornis,1,1,,
Terrestrial invertebrates,1,1,,
Tintinnid,1,1,,
Tortanus copepodid,1,1,,
Tortanus dextrilobatus,1,1,,
Tortanus discaudatus,1,1,,
Tortanus spp,1,1,,
Trichocerca,1,1,,
Tridentiger spp,1,1,,
Unid amphipod,1,1,,
UnID animal material,1,1,,
UnID calanoid,1,1,,
UnID cladocera,1,1,,
Unid copepod,1,1,,
Unid cumacean,2476,356,,
UnID cyclopoid,1,1,,
Unid fish,1,1,,
Unid larval shrimp,2476,346,,
Unid mysids,1,1,,
UnID plant material,1,1,,
Unid rotifer,1,1,,
White Croaker,1,1,,
Worm pieces,1,1,,
